# Generated by Tobias Borsdorff <t.borsdorff@sron.nl> on Mon Mar  2 11:55:58 2015
# Level-2 format version: 1.0
# Level-1b product: /SCIA/LV1_01/Y/SCI_NL__1PYDPA20031119_193603_000061022021_00429_09000_0000.N1                                                                                                                                                                                                                                                                                                                                   
# Sensing start:   1418.81670361
# Sensing stop:   1418.88733534
# Orbit:  9000
# SICOR version: 1.0
# SCIAMACHY channel: 8
# Window (pixels):  394 -  620
# Window (nm): 2310.68 - 2338.51
# Pixel mask version: todo
# Cloud mask version: todo
#    lon0        lat0        lon1        lat1        lon2        lat2        lon3        lat3      lon_cent    lat_cent    dsr_time  int_time   sza    lza     H2O         HDO         N2O         CO          CH4         H2O_err     HDO_err     N2O_err     CO_err      CH4_err  red.chisq   dof eflag albedo   cl_fr mean_elev  st  px bs
#
 -135.457915   56.364374 -135.609723   56.145477 -138.910963   56.976141 -139.038802   56.763598 -137.240563   56.574294  1418.84028993 1.000  76.74   9.68  6.9069E+21  6.9675E+18   0.000      1.5081E+18  3.0219E+19  6.2450E+20  4.3970E+18   0.000      5.5744E+17  4.7400E+17   1.693      152  1  0.5188      0.94      0.00   3  47 0 
 -138.910963   56.976141 -139.038802   56.763598 -142.424076   57.493438 -142.537319   57.269600 -140.715853   57.137932  1418.84030150 1.000  77.54  -7.48  6.1800E+21  4.8309E+18   0.000      1.1567E+18  2.8662E+19  3.4190E+20  2.5186E+18   0.000      3.1446E+17  2.7079E+17   1.797      152  1  0.9169      1.00      0.00   3  48 0 
 -142.424076   57.493438 -142.537319   57.269600 -146.687329   57.997657 -146.787462   57.739583 -144.594946   57.642957  1418.84031308 1.000  78.42 -24.79  5.9690E+21  8.7547E+17   0.000      1.2326E+18  2.4575E+19  4.8454E+20  3.4175E+18   0.000      4.3920E+17  3.5528E+17   1.402      152  1  0.6488      0.97      0.00   3  49 0 
 -131.650082   55.221315 -131.843624   54.975103 -135.651372   56.081748 -135.801132   55.862657 -133.714689   55.551353  1418.84033623 1.000  75.60  27.03  1.0942E+22 -1.4018E+17   0.000      7.9132E+17  3.2342E+19  1.4331E+21  7.6706E+18   0.000      9.4236E+17  8.6099E+17   1.196      152  1  0.2804      0.75     77.68   3  51 0 
 -135.651372   56.081748 -135.801132   55.862657 -139.080724   56.689422 -139.206863   56.476755 -137.421565   56.289430  1418.84034780 1.000  76.48   9.68  6.8341E+21  3.8568E+18   0.000     -4.1047E+15  2.9414E+19  6.0962E+20  4.4276E+18   0.000      5.0944E+17  4.6401E+17   1.329      152  1  0.5056      1.00      0.00   3  52 0 
 -139.080724   56.689422 -139.206863   56.476755 -142.568174   57.203659 -142.679976   56.979747 -140.872283   56.849510  1418.84035937 1.000  77.28  -7.48  7.0940E+21  2.7454E+18   0.000      1.2957E+18  2.9020E+19  3.7843E+20  2.5509E+18   0.000      3.2379E+17  2.7622E+17   1.690      152  1  0.8942      1.00      0.00   3  53 0 
 -142.568174   57.203659 -142.679976   56.979747 -146.798817   57.705663 -146.897829   57.447556 -144.722424   57.351856  1418.84037095 1.000  78.16 -24.79  5.6748E+21  8.3284E+18   0.000      1.3751E+18  2.5634E+19  4.5634E+20  3.4065E+18   0.000      4.3095E+17  3.5200E+17   1.719      152  1  0.6688      0.97      0.00   3  54 0 
 -131.864524   54.944127 -132.055514   54.697593 -135.842996   55.799018 -135.990752   55.579741 -133.917067   55.271144  1418.84039410 1.000  75.34  27.03  1.1005E+22 -2.2685E+17   0.000     -2.4991E+17  3.0712E+19  1.1308E+21  6.1872E+18   0.000      7.0636E+17  6.6350E+17   1.702      152  1  0.3432      0.72     33.36   3  56 0 
 -135.842996   55.799018 -135.990752   55.579741 -139.248953   56.402643 -139.373432   56.189855 -137.600897   56.004486  1418.84040567 1.000  76.22   9.68  7.2936E+21  7.4218E+18   0.000      9.8004E+17  2.8736E+19  5.9720E+20  4.2228E+18   0.000      5.1521E+17  4.2792E+17   1.564      152  1  0.5323      1.00      0.00   3  57 0 
 -139.248953   56.402643 -139.373432   56.189855 -142.710445   56.913756 -142.820845   56.689772 -141.027050   56.560993  1418.84041724 1.000  77.02  -7.48  7.0847E+21  2.0938E+18   0.000      1.2166E+18  2.9426E+19  3.6071E+20  2.4473E+18   0.000      3.0938E+17  2.6591E+17   2.080      152  1  0.9253      1.00      0.00   3  58 0 
 -142.710445   56.913756 -142.820845   56.689772 -146.907982   57.413478 -147.005908   57.155350 -144.847842   57.060594  1418.84042882 1.000  77.90 -24.79  5.3619E+21  2.0445E+18   0.000      7.8621E+17  2.3163E+19  4.4657E+20  3.4504E+18   0.000      4.2599E+17  3.3881E+17   1.460      152  1  0.6293      1.00      0.00   3  59 0 
 -132.078777   54.667249 -132.267238   54.420424 -136.031303   55.515862 -136.177107   55.296401 -134.117737   54.990858  1418.84045197 1.000  75.07  27.03  1.0894E+22  1.6205E+18   0.000      1.2558E+18  2.9711E+19  9.8433E+20  5.5562E+18   0.000      7.0018E+17  5.7694E+17   1.357      152  1  0.3801      0.75      5.66   3  61 0 
 -136.031303   55.515862 -136.177107   55.296401 -139.414265   56.115547 -139.537128   55.902642 -137.777125   55.719174  1418.84046354 1.000  75.95   9.68  5.5446E+21  4.7920E+18   0.000      8.8220E+17  2.6404E+19  5.4442E+20  4.5691E+18   0.000      5.5776E+17  4.3740E+17   1.182      152  1  0.4777      0.94      0.00   3  62 0 
 -139.414265   56.115547 -139.537128   55.902642 -142.851204   56.623770 -142.960236   56.399716 -141.179606   56.272286  1418.84047511 1.000  76.76  -7.48  7.3524E+21  1.2430E+18   0.000      1.8560E+18  2.9932E+19  4.0859E+20  2.7310E+18   0.000      3.6197E+17  2.9689E+17   1.424      152  1  0.8240      1.00      0.00   3  63 0 
